,id,framerate,marker,scene,rating
119,4,144,aruco,text_w,5.0
120,4,144,point,image,4.0
121,4,144,point,text_d,2.3333333333333335
122,4,144,point,text_w,5.0
123,4,144,qr,image,2.6666666666666665
124,4,144,qr,text_d,2.3333333333333335
125,4,144,qr,text_w,5.0
126,4,200,aruco,image,5.0
127,4,200,aruco,text_d,3.6666666666666665
128,4,200,aruco,text_w,5.0
129,4,200,point,image,5.0
130,4,200,point,text_d,2.6666666666666665
131,4,200,point,text_w,5.0
132,4,200,qr,image,5.0
133,4,200,qr,text_d,3.3333333333333335
134,4,200,qr,text_w,5.0
135,4,240,aruco,image,4.666666666666667
136,4,240,aruco,text_d,3.6666666666666665
137,4,240,aruco,text_w,5.0
138,4,240,point,image,4.0
139,4,240,point,text_d,3.6666666666666665
140,4,240,point,text_w,5.0
141,4,240,qr,image,4.666666666666667
142,4,240,qr,text_d,3.0
143,4,240,qr,text_w,5.0
144,5,120,aruco,image,4.0
145,5,120,aruco,text_d,3.3333333333333335
146,5,120,aruco,text_w,5.0
147,5,120,point,image,4.0
148,5,120,point,text_d,3.0
149,5,120,point,text_w,5.0
150,5,120,qr,image,4.0
151,5,120,qr,text_d,3.3333333333333335
152,5,120,qr,text_w,5.0
153,5,144,aruco,image,4.0
154,5,144,aruco,text_d,3.6666666666666665
155,5,144,aruco,text_w,5.0
156,5,144,point,image,4.0
157,5,144,point,text_d,3.0
158,5,144,point,text_w,5.0
159,5,144,qr,image,4.0
160,5,144,qr,text_d,3.3333333333333335
161,5,144,qr,text_w,5.0
162,5,200,aruco,image,4.666666666666667
163,5,200,aruco,text_d,3.6666666666666665
164,5,200,aruco,text_w,5.0
165,5,200,point,image,5.0
166,5,200,point,text_d,3.0
167,5,200,point,text_w,5.0
168,5,200,qr,image,4.0
169,5,200,qr,text_d,3.0
170,5,200,qr,text_w,5.0
171,5,240,aruco,image,5.0
172,5,240,aruco,text_d,4.333333333333333
173,5,240,aruco,text_w,5.0
174,5,240,point,image,4.0
175,5,240,point,text_d,3.6666666666666665
176,5,240,point,text_w,5.0
177,5,240,qr,image,4.333333333333333
178,5,240,qr,text_d,3.6666666666666665
179,5,240,qr,text_w,5.0
180,6,120,aruco,image,4.333333333333333
181,6,120,aruco,text_d,2.3333333333333335
182,6,120,aruco,text_w,5.0
183,6,120,point,image,4.666666666666667
184,6,120,point,text_d,2.3333333333333335
185,6,120,point,text_w,5.0
186,6,120,qr,image,4.333333333333333
187,6,120,qr,text_d,2.0
188,6,120,qr,text_w,4.666666666666667
189,6,144,aruco,image,4.333333333333333
190,6,144,aruco,text_d,2.3333333333333335
191,6,144,aruco,text_w,5.0
192,6,144,point,image,4.333333333333333
193,6,144,point,text_d,2.0
194,6,144,point,text_w,5.0
195,6,144,qr,image,4.0
196,6,144,qr,text_d,1.6666666666666667
197,6,144,qr,text_w,5.0
198,6,200,aruco,image,4.666666666666667
199,6,200,aruco,text_d,3.3333333333333335
200,6,200,aruco,text_w,5.0
201,6,200,point,image,5.0
202,6,200,point,text_d,3.0
203,6,200,point,text_w,5.0
204,6,200,qr,image,4.666666666666667
205,6,200,qr,text_d,2.3333333333333335
206,6,200,qr,text_w,5.0
207,6,240,aruco,image,4.666666666666667
208,6,240,aruco,text_d,3.6666666666666665
209,6,240,aruco,text_w,5.0
210,6,240,point,image,5.0
211,6,240,point,text_d,3.0
212,6,240,point,text_w,5.0
213,6,240,qr,image,5.0
214,6,240,qr,text_d,2.3333333333333335
215,6,240,qr,text_w,5.0
216,7,120,aruco,image,4.0
217,7,120,aruco,text_d,3.3333333333333335
218,7,120,aruco,text_w,5.0
219,7,120,point,image,4.333333333333333
220,7,120,point,text_d,2.6666666666666665
221,7,120,point,text_w,5.0
222,7,120,qr,image,3.6666666666666665
223,7,120,qr,text_d,3.3333333333333335
224,7,120,qr,text_w,5.0
225,7,144,aruco,image,4.666666666666667
226,7,144,aruco,text_d,4.0
227,7,144,aruco,text_w,5.0
228,7,144,point,image,5.0
229,7,144,point,text_d,3.3333333333333335
230,7,144,point,text_w,5.0
231,7,144,qr,image,4.666666666666667
232,7,144,qr,text_d,3.3333333333333335
233,7,144,qr,text_w,5.0
234,7,200,aruco,image,5.0
235,7,200,aruco,text_d,5.0
236,7,200,aruco,text_w,5.0
237,7,200,point,image,5.0
238,7,200,point,text_d,4.0
239,7,200,point,text_w,5.0
240,7,200,qr,image,4.666666666666667
241,7,200,qr,text_d,4.0
242,7,200,qr,text_w,5.0
243,7,240,aruco,image,5.0
244,7,240,aruco,text_d,5.0
245,7,240,aruco,text_w,5.0
246,7,240,point,image,5.0
247,7,240,point,text_d,4.666666666666667
248,7,240,point,text_w,5.0
249,7,240,qr,image,5.0
250,7,240,qr,text_d,4.666666666666667
251,7,240,qr,text_w,5.0
252,8,120,aruco,image,4.0
253,8,120,aruco,text_d,3.3333333333333335
254,8,120,aruco,text_w,5.0
255,8,120,point,image,4.333333333333333
256,8,120,point,text_d,3.3333333333333335
257,8,120,point,text_w,4.666666666666667
258,8,120,qr,image,4.0
259,8,120,qr,text_d,2.3333333333333335
260,8,120,qr,text_w,5.0
261,8,144,aruco,image,4.333333333333333
262,8,144,aruco,text_d,2.6666666666666665
263,8,144,aruco,text_w,5.0
264,8,144,point,image,4.333333333333333
265,8,144,point,text_d,2.6666666666666665
266,8,144,point,text_w,5.0
267,8,144,qr,image,4.0
268,8,144,qr,text_d,2.6666666666666665
269,8,144,qr,text_w,4.666666666666667
270,8,200,aruco,image,5.0
271,8,200,aruco,text_d,3.3333333333333335
272,8,200,aruco,text_w,5.0
273,8,200,point,image,5.0
274,8,200,point,text_d,3.3333333333333335
275,8,200,point,text_w,4.666666666666667
276,8,200,qr,image,4.666666666666667
277,8,200,qr,text_d,3.0
278,8,200,qr,text_w,5.0
279,8,240,aruco,image,5.0
280,8,240,aruco,text_d,3.6666666666666665
281,8,240,aruco,text_w,4.0
282,8,240,point,image,5.0
283,8,240,point,text_d,3.6666666666666665
284,8,240,point,text_w,5.0
285,8,240,qr,image,5.0
286,8,240,qr,text_d,3.0
287,8,240,qr,text_w,5.0
288,9,120,aruco,image,4.666666666666667
289,9,120,aruco,text_d,2.6666666666666665
290,9,120,aruco,text_w,5.0
291,9,120,point,image,4.333333333333333
292,9,120,point,text_d,2.6666666666666665
293,9,120,point,text_w,5.0
294,9,120,qr,image,4.333333333333333
295,9,120,qr,text_d,2.0
296,9,120,qr,text_w,5.0
297,9,144,aruco,image,4.0
298,9,144,aruco,text_d,3.0
299,9,144,aruco,text_w,5.0
300,9,144,point,image,4.666666666666667
301,9,144,point,text_d,2.6666666666666665
302,9,144,point,text_w,5.0
303,9,144,qr,image,4.0
304,9,144,qr,text_d,2.3333333333333335
305,9,144,qr,text_w,4.666666666666667
306,9,200,aruco,image,4.666666666666667
307,9,200,aruco,text_d,3.0
308,9,200,aruco,text_w,4.666666666666667
309,9,200,point,image,4.666666666666667
310,9,200,point,text_d,3.0
311,9,200,point,text_w,4.666666666666667
312,9,200,qr,image,3.6666666666666665
313,9,200,qr,text_d,3.0
314,9,200,qr,text_w,4.666666666666667
315,9,240,aruco,image,5.0
316,9,240,aruco,text_d,4.0
317,9,240,aruco,text_w,5.0
318,9,240,point,image,5.0
319,9,240,point,text_d,3.6666666666666665
320,9,240,point,text_w,5.0
321,9,240,qr,image,4.666666666666667
322,9,240,qr,text_d,2.6666666666666665
323,9,240,qr,text_w,5.0
324,10,120,aruco,image,4.333333333333333
325,10,120,aruco,text_d,2.6666666666666665
326,10,120,aruco,text_w,4.666666666666667
327,10,120,point,image,4.666666666666667
328,10,120,point,text_d,2.6666666666666665
329,10,120,point,text_w,5.0
330,10,120,qr,image,4.333333333333333
331,10,120,qr,text_d,2.6666666666666665
332,10,120,qr,text_w,5.0
333,10,144,aruco,image,3.3333333333333335
334,10,144,aruco,text_d,2.3333333333333335
335,10,144,aruco,text_w,5.0
336,10,144,point,image,2.6666666666666665
337,10,144,point,text_d,2.3333333333333335
338,10,144,point,text_w,3.6666666666666665
339,10,144,qr,image,4.333333333333333
340,10,144,qr,text_d,2.6666666666666665
341,10,144,qr,text_w,5.0
342,10,200,aruco,image,5.0
343,10,200,aruco,text_d,3.6666666666666665
344,10,200,aruco,text_w,5.0
345,10,200,point,image,5.0
346,10,200,point,text_d,3.0
347,10,200,point,text_w,5.0
348,10,200,qr,image,3.6666666666666665
349,10,200,qr,text_d,4.0
350,10,200,qr,text_w,3.6666666666666665
351,10,240,aruco,image,5.0
352,10,240,aruco,text_d,4.333333333333333
353,10,240,aruco,text_w,5.0
354,10,240,point,image,5.0
355,10,240,point,text_d,4.0
356,10,240,point,text_w,5.0
357,10,240,qr,image,5.0
358,10,240,qr,text_d,4.333333333333333
359,10,240,qr,text_w,5.0
360,11,120,aruco,image,4.0
361,11,120,aruco,text_d,1.6666666666666667
362,11,120,aruco,text_w,5.0
363,11,120,point,image,3.6666666666666665
364,11,120,point,text_d,1.0
365,11,120,point,text_w,5.0
366,11,120,qr,image,3.0
367,11,120,qr,text_d,1.0
368,11,120,qr,text_w,5.0
369,11,144,aruco,image,3.3333333333333335
370,11,144,aruco,text_d,1.6666666666666667
371,11,144,aruco,text_w,5.0
372,11,144,point,image,3.3333333333333335
373,11,144,point,text_d,1.0
374,11,144,point,text_w,5.0
375,11,144,qr,image,3.0
376,11,144,qr,text_d,1.3333333333333333
377,11,144,qr,text_w,5.0
378,11,200,aruco,image,4.0
379,11,200,aruco,text_d,2.6666666666666665
380,11,200,aruco,text_w,5.0
381,11,200,point,image,4.0
382,11,200,point,text_d,2.0
383,11,200,point,text_w,4.666666666666667
384,11,200,qr,image,4.0
385,11,200,qr,text_d,2.0
386,11,200,qr,text_w,5.0
387,11,240,aruco,image,4.333333333333333
388,11,240,aruco,text_d,2.3333333333333335
389,11,240,aruco,text_w,5.0
390,11,240,point,image,3.0
391,11,240,point,text_d,2.0
392,11,240,point,text_w,5.0
393,11,240,qr,image,4.0
394,11,240,qr,text_d,1.3333333333333333
395,11,240,qr,text_w,5.0
396,12,120,aruco,image,5.0
397,12,120,aruco,text_d,2.6666666666666665
398,12,120,aruco,text_w,5.0
399,12,120,point,image,5.0
400,12,120,point,text_d,1.6666666666666667
401,12,120,point,text_w,5.0
402,12,120,qr,image,4.666666666666667
403,12,120,qr,text_d,2.0
