id,timestamp,scene,framerate,marker,rating
1,2023-09-13 16:12:50.353762,text_d,240,aruco,5
1,2023-09-13 16:12:55.897747,text_d,240,qr,5
1,2023-09-13 16:13:03.582587,image,120,point,5
1,2023-09-13 16:13:09.225454,image,120,none,5
1,2023-09-13 16:13:14.892194,image,120,aruco,5
1,2023-09-13 16:13:20.433260,image,120,qr,4
1,2023-09-13 16:13:26.054252,text_w,120,point,5
1,2023-09-13 16:13:31.585084,text_w,120,none,5
1,2023-09-13 16:13:37.123940,text_w,120,aruco,5
1,2023-09-13 16:13:43.176872,text_w,120,qr,5
1,2023-09-13 16:13:50.634274,text_d,120,point,4
1,2023-09-13 16:13:56.235731,text_d,120,none,5
1,2023-09-13 16:14:01.718511,text_d,120,aruco,4
1,2023-09-13 16:14:07.203511,text_d,120,qr,3
1,2023-09-13 16:14:14.718402,text_d,200,qr,3
1,2023-09-13 16:14:20.454360,text_d,200,aruco,4
1,2023-09-13 16:14:25.931395,text_d,200,none,5
1,2023-09-13 16:14:31.739305,text_d,200,point,4
1,2023-09-13 16:14:38.755188,image,200,qr,5
1,2023-09-13 16:14:44.267154,image,200,aruco,5
1,2023-09-13 16:14:49.763092,image,200,none,5
1,2023-09-13 16:14:55.347089,image,200,point,5
1,2023-09-13 16:15:02.369497,text_w,200,qr,5
1,2023-09-13 16:15:10.994976,text_w,200,aruco,5
1,2023-09-13 16:15:17.298926,text_w,200,none,5
1,2023-09-13 16:15:22.738935,text_w,200,point,5
1,2023-09-13 16:15:30.226856,text_d,240,qr,5
1,2023-09-13 16:15:35.685588,text_d,240,aruco,5
1,2023-09-13 16:15:41.242687,text_d,240,none,5
1,2023-09-13 16:15:46.794683,text_d,240,point,5
1,2023-09-13 16:15:55.651290,image,240,qr,5
1,2023-09-13 16:16:01.234663,image,240,aruco,5
1,2023-09-13 16:16:08.250615,image,240,none,5
1,2023-09-13 16:16:13.842540,image,240,point,5
1,2023-09-13 16:16:19.234544,text_w,240,qr,5
1,2023-09-13 16:16:25.850532,text_w,240,aruco,5
1,2023-09-13 16:16:31.647620,text_w,240,none,5
1,2023-09-13 16:16:37.173458,text_w,240,point,5
1,2023-09-13 16:16:44.714526,text_d,144,qr,3
1,2023-09-13 16:16:50.151616,text_d,144,aruco,1
1,2023-09-13 16:16:55.599590,text_d,144,none,5
1,2023-09-13 16:17:00.967600,text_d,144,point,3
1,2023-09-13 16:17:06.426522,image,144,qr,5
1,2023-09-13 16:17:13.946548,image,144,aruco,5
1,2023-09-13 16:17:19.636631,image,144,none,5
1,2023-09-13 16:17:25.231614,image,144,point,4
1,2023-09-13 16:17:30.834540,text_w,144,qr,5
1,2023-09-13 16:17:36.701437,text_w,144,aruco,5
1,2023-09-13 16:17:42.418558,text_w,144,none,5
1,2023-09-13 16:17:47.919564,text_w,144,point,5
1,2023-09-13 16:17:55.615634,text_d,120,qr,3
1,2023-09-13 16:18:01.114549,text_d,120,aruco,2
1,2023-09-13 16:18:06.634421,text_d,120,none,5
1,2023-09-13 16:18:12.103612,text_d,120,point,2
1,2023-09-13 16:18:19.626514,image,120,qr,3
1,2023-09-13 16:18:25.410498,image,120,aruco,5
1,2023-09-13 16:18:30.938599,image,120,none,5
1,2023-09-13 16:18:36.738593,image,120,point,5
1,2023-09-13 16:18:42.434629,text_w,120,qr,5
1,2023-09-13 16:18:48.154672,text_w,120,aruco,5
1,2023-09-13 16:18:53.831789,text_w,120,none,5
1,2023-09-13 16:18:59.314808,text_w,120,point,5
2,2023-09-13 16:38:17.218864,text_w,120,aruco,5
2,2023-09-13 16:38:23.010961,text_w,120,point,5
2,2023-09-13 16:38:54.151391,text_w,120,none,5
2,2023-09-13 16:38:59.529088,text_w,120,qr,5
2,2023-09-13 16:39:04.921148,image,120,aruco,5
2,2023-09-13 16:39:10.401356,image,120,point,3
2,2023-09-13 16:39:16.009438,image,120,none,5
2,2023-09-13 16:39:21.489594,image,120,qr,5
2,2023-09-13 16:39:27.710758,text_d,120,aruco,4
2,2023-09-13 16:39:33.344504,text_d,120,point,2
2,2023-09-13 16:39:39.097960,text_d,120,none,5
2,2023-09-13 16:39:44.845734,text_d,120,qr,2
2,2023-09-13 16:39:52.567377,text_w,200,aruco,5
2,2023-09-13 16:40:00.202522,text_w,200,point,5
2,2023-09-13 16:40:06.767680,text_w,200,none,5
2,2023-09-13 16:40:12.727881,text_w,200,qr,5
2,2023-09-13 16:40:25.656233,image,200,aruco,5
2,2023-09-13 16:40:33.464368,image,200,point,5
2,2023-09-13 16:40:49.234226,image,200,none,5
2,2023-09-13 16:41:00.809883,image,200,qr,5
2,2023-09-13 16:41:06.308202,text_d,200,aruco,5
2,2023-09-13 16:41:11.908368,text_d,200,point,4
2,2023-09-13 16:41:17.300530,text_d,200,none,5
2,2023-09-13 16:41:22.768211,text_d,200,qr,4
2,2023-09-13 16:41:31.319763,text_w,144,aruco,5
2,2023-09-13 16:41:37.300987,text_w,144,point,5
2,2023-09-13 16:41:43.282212,text_w,144,none,5
2,2023-09-13 16:41:50.362354,text_w,144,qr,5
2,2023-09-13 16:41:58.890658,image,144,aruco,5
2,2023-09-13 16:42:12.146982,image,144,point,5
2,2023-09-13 16:42:17.891083,image,144,none,5
2,2023-09-13 16:42:23.931225,image,144,qr,5
2,2023-09-13 16:42:30.275477,text_d,144,aruco,3
2,2023-09-13 16:42:35.982516,text_d,144,point,4
2,2023-09-13 16:42:41.747727,text_d,144,none,5
2,2023-09-13 16:42:47.315927,text_d,144,qr,3
2,2023-09-13 16:42:56.073149,text_w,240,aruco,5
2,2023-09-13 16:43:01.929298,text_w,240,point,5
2,2023-09-13 16:43:07.703379,text_w,240,none,5
2,2023-09-13 16:43:13.266353,text_w,240,qr,5
2,2023-09-13 16:43:19.015591,image,240,aruco,5
2,2023-09-13 16:43:24.911781,image,240,point,5
2,2023-09-13 16:43:30.572996,image,240,none,5
2,2023-09-13 16:43:40.120170,image,240,qr,5
2,2023-09-13 16:43:45.528287,text_d,240,aruco,5
2,2023-09-13 16:43:51.432415,text_d,240,point,5
2,2023-09-13 16:43:57.232657,text_d,240,none,5
2,2023-09-13 16:44:03.088819,text_d,240,qr,5
2,2023-09-13 16:44:11.320970,text_w,120,qr,5
2,2023-09-13 16:44:17.057123,text_w,120,none,5
2,2023-09-13 16:44:23.513361,text_w,120,point,5
2,2023-09-13 16:44:35.864115,text_w,120,aruco,5
2,2023-09-13 16:44:41.313741,image,120,qr,5
2,2023-09-13 16:44:46.809935,image,120,none,5
2,2023-09-13 16:44:52.393986,image,120,point,5
2,2023-09-13 16:44:57.850093,image,120,aruco,5
2,2023-09-13 16:45:03.401806,text_d,120,qr,3
2,2023-09-13 16:45:08.825591,text_d,120,none,5
2,2023-09-13 16:45:14.244170,text_d,120,point,4
2,2023-09-13 16:45:19.641099,text_d,120,aruco,2
2,2023-09-13 16:45:27.136882,text_w,240,qr,5
2,2023-09-13 16:45:33.352556,text_w,240,none,5
2,2023-09-13 16:45:38.904294,text_w,240,point,5
2,2023-09-13 16:45:44.432069,text_w,240,aruco,5
2,2023-09-13 16:45:50.167900,image,240,qr,5
2,2023-09-13 16:45:55.647598,image,240,none,5
2,2023-09-13 16:46:01.159420,image,240,point,5
2,2023-09-13 16:46:06.751182,image,240,aruco,5
2,2023-09-13 16:46:12.182977,text_d,240,qr,4
2,2023-09-13 16:46:17.873617,text_d,240,none,5
2,2023-09-13 16:46:23.396277,text_d,240,point,5
2,2023-09-13 16:46:29.499373,text_d,240,aruco,5
2,2023-09-13 16:46:37.192888,text_w,144,qr,5
2,2023-09-13 16:46:42.672703,text_w,144,none,5
2,2023-09-13 16:46:48.309707,text_w,144,point,5
2,2023-09-13 16:46:54.021488,text_w,144,aruco,5
2,2023-09-13 16:46:59.642321,image,144,qr,5
2,2023-09-13 16:47:05.279996,image,144,none,5
2,2023-09-13 16:47:11.050000,image,144,point,5
2,2023-09-13 16:47:16.655554,image,144,aruco,5
2,2023-09-13 16:47:22.097620,text_d,144,qr,4
2,2023-09-13 16:47:27.751215,text_d,144,none,5
2,2023-09-13 16:47:33.380200,text_d,144,point,3
2,2023-09-13 16:47:38.900015,text_d,144,aruco,4
2,2023-09-13 16:47:47.019815,text_w,200,qr,5
2,2023-09-13 16:47:52.608745,text_w,200,none,5
2,2023-09-13 16:47:58.552505,text_w,200,point,5
2,2023-09-13 16:48:04.248388,text_w,200,aruco,5
2,2023-09-13 16:48:09.824224,image,200,qr,5
2,2023-09-13 16:48:15.712083,image,200,none,5
2,2023-09-13 16:48:24.306828,image,200,point,5
2,2023-09-13 16:48:29.706677,image,200,aruco,5
2,2023-09-13 16:48:35.266559,text_d,200,qr,5
2,2023-09-13 16:48:40.867171,text_d,200,none,5
2,2023-09-13 16:48:46.898335,text_d,200,point,5
2,2023-09-13 16:48:52.346132,text_d,200,aruco,5
2,2023-09-13 16:49:00.023091,image,240,none,5
2,2023-09-13 16:49:06.022876,image,240,qr,5
2,2023-09-13 16:49:12.230791,image,240,aruco,5
